"County","State","Population.Population Percent Change","Population.2020 Population","Population.2010 Population","Age.Percent Under 5 Years","Age.Percent Under 18 Years","Age.Percent 65 and Older","Miscellaneous.Percent Female","Ethnicities.White Alone","Ethnicities.Black Alone","Ethnicities.American Indian and Alaska Native Alone","Ethnicities.Asian Alone","Ethnicities.Native Hawaiian and Other Pacific Islander Alone","Ethnicities.Two or More Races","Ethnicities.Hispanic or Latino","Ethnicities.White Alone, not Hispanic or Latino","Miscellaneous.Veterans","Miscellaneous.Foreign Born","Housing.Housing Units","Housing.Homeownership Rate","Housing.Median Value of Owner-Occupied Units","Housing.Households","Housing.Persons per Household","Miscellaneous.Living in Same House +1 Years","Miscellaneous.Language Other than English at Home","Education.High School or Higher","Education.Bachelor's Degree or Higher","Sales.Accommodation and Food Services Sales","Miscellaneous.Manufacturers Shipments","Sales.Retail Sales","Miscellaneous.Mean Travel Time to Work","Income.Median Houseold Income","Income.Per Capita Income","Employment.Nonemployer Establishments","Employment.Firms.Total","Employment.Firms.Men-Owned","Employment.Firms.Women-Owned","Employment.Firms.Minority-Owned","Employment.Firms.Nonminority-Owned","Employment.Firms.Veteran-Owned","Employment.Firms.Nonveteran-Owned","Population.Population per Square Mile","Miscellaneous.Land Area"
"Washington County","OK","1.9","51937","50976","6.4","23.7","18.6","51.4","78.5","2.7","10.6","1.7","0","6.4","5.7","74","4494","3.1","23633","72.9","111000","21332","2.37","-1","-1","89.4","25.2","-1","-1","-1","-1","48687","-1","-1","-1","-1","-1","-1","-1","-1","-1","122.7","511.27"
"Washita County","OK","-0.7","11547","11629","6.7","25.8","16.5","49.8","91.5","1.2","3.9","0.3","0","3","9.6","83.9","942","2.3","5461","70.7","76500","4630","2.48","-1","-1","85","18","-1","-1","-1","-1","46686","-1","-1","-1","-1","-1","-1","-1","-1","-1","11.6","784.93"
"Woods County","OK","4.6","9288","8878","5.9","20.3","16.1","46.2","89.7","3.3","2.9","1.2","0.1","2.8","6.4","84.2","728","1.1","4448","66.2","80700","3439","2.27","-1","-1","88.8","27.1","-1","-1","-1","-1","51619","-1","-1","-1","-1","-1","-1","-1","-1","-1","6.9","590.78"
"Woodward County","OK","7.2","21529","20081","7.5","25.8","13.9","47","91.2","2.1","3.4","0.9","0.1","2.5","12.1","80.7","1339","3.8","8927","71.8","104300","7382","2.63","-1","-1","85.3","17.8","-1","-1","-1","-1","51867","-1","-1","-1","-1","-1","-1","-1","-1","-1","16.2","758.52"
"Baker County","OR","-0.5","16059","16134","5.2","19.4","24.7","49.5","95","0.6","1.3","0.6","0.1","2.4","3.9","91.6","2096","1.5","8821","67","147700","7120","2.18","-1","-1","89.4","20.9","-1","-1","-1","-1","41500","-1","-1","-1","-1","-1","-1","-1","-1","-1","5.3","411.15"
"Benton County","OR","0.9","86316","85579","4.1","16.9","14.3","49.9","88.2","1.1","0.9","6","0.3","3.6","7","82.1","5561","8.8","37107","57.9","270500","33384","2.42","-1","-1","94.6","50","-1","-1","-1","-1","48604","-1","-1","-1","-1","-1","-1","-1","-1","-1","126.6","379.64"
"Clackamas County","OR","5","394972","375992","5.3","22.2","16.2","50.8","90.2","1","1.1","4.2","0.3","3.2","8.4","83.1","30645","8.3","160781","68.8","300600","146527","2.58","-1","-1","92.4","31.8","-1","-1","-1","-1","64352","-1","-1","-1","-1","-1","-1","-1","-1","-1","201","500.86"
"Clatsop County","OR","1.2","37474","37039","5.3","19.6","19.3","50.6","93.1","0.9","1.3","1.6","0.3","2.8","8.1","86.1","3979","5.8","21801","62.7","256500","15749","2.3","-1","-1","91.5","23.2","-1","-1","-1","-1","44683","-1","-1","-1","-1","-1","-1","-1","-1","-1","44.7","407.68"
"Columbia County","OR","0.2","49459","49351","5.1","22.4","17.1","50.3","93.1","0.6","1.4","1","0.2","3.6","4.6","89.3","5505","3.7","20664","73.9","213200","19069","2.57","-1","-1","89.6","18.1","-1","-1","-1","-1","54968","-1","-1","-1","-1","-1","-1","-1","-1","-1","75.1","763.17"
"Coos County","OR","-0.9","62475","63043","4.9","18.5","24","50.7","90.9","0.6","2.9","1.2","0.2","4.2","6","85.9","8013","3.2","30393","66.1","177000","26072","2.36","-1","-1","88","18","-1","-1","-1","-1","37940","-1","-1","-1","-1","-1","-1","-1","-1","-1","39.5","795.58"
"Crook County","OR","0.1","20998","20978","4.3","19.4","24.2","50.6","95.2","0.3","1.6","0.7","0.1","2.1","7.4","88.6","2788","3.1","10319","70.5","173000","8880","2.33","-1","-1","84.9","14.5","-1","-1","-1","-1","38795","-1","-1","-1","-1","-1","-1","-1","-1","-1","7","508.78"
"Curry County","OR","-0.1","22335","22364","4.3","15.5","31.3","50.7","92.7","0.4","2.3","1","0.1","3.5","6.5","87.1","3554","3.4","12607","67.8","230100","10355","2.13","-1","-1","91.3","20.7","-1","-1","-1","-1","39516","-1","-1","-1","-1","-1","-1","-1","-1","-1","13.7","432.92"
"Deschutes County","OR","8","170388","157733","5.3","21.3","18.3","50.7","94.7","0.5","1.1","1.1","0.2","2.4","7.8","87.9","15475","4.4","82414","65.5","249500","64568","2.47","-1","-1","93.1","31","-1","-1","-1","-1","50209","-1","-1","-1","-1","-1","-1","-1","-1","-1","52.3","895.96"
"Douglas County","OR","-0.6","106972","107667","5.1","19.5","23.6","50.7","93.1","0.4","2","1.1","0.2","3.2","5.2","88.7","13624","2.9","48929","68.8","171300","43846","2.41","-1","-1","87.7","16.1","-1","-1","-1","-1","40524","-1","-1","-1","-1","-1","-1","-1","-1","-1","21.4","1677.08"
"Gilliam County","OR","3.3","1932","1871","6.1","19.8","24.1","49.9","95.1","0.2","1.4","0.6","0.7","2","6.5","89.1","217","3.1","1147","63.3","116400","883","2.15","-1","-1","91","14.7","-1","-1","-1","-1","44743","-1","-1","-1","-1","-1","-1","-1","-1","-1","1.6","2440.86"
"Grant County","OR","-3.6","7180","7445","4.7","18.4","27.3","50.5","94.8","0.3","1.4","0.6","0.2","2.7","3.4","92.1","894","1.3","4304","70.4","136400","3319","2.17","-1","-1","89.5","20.5","-1","-1","-1","-1","35051","-1","-1","-1","-1","-1","-1","-1","-1","-1","1.6","2523.99"
"Harney County","OR","-4","7126","7422","5.1","20.3","22.5","49.4","92","0.5","3.9","0.4","0","3.1","4.9","87.8","723","1.8","3795","64.9","112300","3113","2.29","-1","-1","87.9","15.6","-1","-1","-1","-1","38113","-1","-1","-1","-1","-1","-1","-1","-1","-1","0.7","1056.07"
"Hood River County","OR","2.4","22885","22346","6.6","25","14.1","49.9","94.1","0.6","1.1","1.5","0.2","2.4","30.9","64.4","1487","16.9","9506","66.1","321700","8144","2.62","-1","-1","84.1","30.5","-1","-1","-1","-1","56725","-1","-1","-1","-1","-1","-1","-1","-1","-1","42.8","565.83"
"Jackson County","OR","3.5","210287","203206","5.7","21","20.2","51.4","92.6","0.8","1.5","1.4","0.3","3.3","12","82.1","22618","5.7","91919","62.2","225100","83140","2.42","-1","-1","89.1","24.8","-1","-1","-1","-1","44005","-1","-1","-1","-1","-1","-1","-1","-1","-1","73","823.69"
"Jefferson County","OR","2.2","22192","21720","6.7","24.1","18","48.1","75.5","1","19","0.9","0.3","3.3","19.6","60.2","2020","7.3","9767","65.4","165900","7882","2.62","-1","-1","84.7","17.3","-1","-1","-1","-1","43373","-1","-1","-1","-1","-1","-1","-1","-1","-1","12.2","923.04"
"Josephine County","OR","1.1","83599","82713","4.9","19.6","24.8","51.2","93.5","0.6","1.5","1","0.2","3.2","7","87.6","10265","2.8","38022","66.2","220900","34390","2.37","-1","-1","88.4","17","-1","-1","-1","-1","37733","-1","-1","-1","-1","-1","-1","-1","-1","-1","50.4","530.67"
"Klamath County","OR","-1.4","65455","66380","6","21.5","19.2","50.1","89.3","0.9","4.7","1","0.2","4","11.9","79.4","7894","5.3","32763","65.8","155000","27378","2.38","-1","-1","87.7","19.7","-1","-1","-1","-1","39627","-1","-1","-1","-1","-1","-1","-1","-1","-1","11.2","2629.67"
"Lake County","OR","-0.7","7838","7895","4.2","18.5","23","46.9","92.5","0.7","2.2","1.1","0.1","3.4","7.8","85.7","951","4.1","4401","66.2","144100","3566","2.09","-1","-1","83.7","18.6","-1","-1","-1","-1","33611","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","588.78"
"Lane County","OR","1.9","358337","351715","4.9","19.1","17.4","50.9","90.1","1.1","1.4","2.9","0.3","4.3","8.3","83.1","31009","5.7","157899","59.6","218900","144912","2.38","-1","-1","91.1","27.7","-1","-1","-1","-1","42931","-1","-1","-1","-1","-1","-1","-1","-1","-1","77.2","953.21"
"Lincoln County","OR","0.8","46406","46034","5","17","24.9","51.4","90.1","0.7","4","1.3","0.2","3.6","8.5","83.3","5793","5.2","30700","65.5","237200","20913","2.17","-1","-1","89.9","24.4","-1","-1","-1","-1","42365","-1","-1","-1","-1","-1","-1","-1","-1","-1","47","718.48"
"Linn County","OR","2.3","119356","116672","6.2","23.2","17.3","50.5","93.4","0.7","1.5","1.1","0.2","3.1","8.4","86.2","11747","4.4","49300","66.8","173600","44722","2.6","-1","-1","89.1","16.9","-1","-1","-1","-1","46939","-1","-1","-1","-1","-1","-1","-1","-1","-1","50.9","234.2"
"Malheur County","OR","-3","30359","31313","7","25.2","15.8","45.5","92.2","1.5","2","1.8","0.2","2.3","33.1","61.7","2347","10.6","11617","61.6","132600","10136","2.69","-1","-1","80.4","13.1","-1","-1","-1","-1","35578","-1","-1","-1","-1","-1","-1","-1","-1","-1","3.2","589.16"
"Marion County","OR","3.4","326110","315335","6.8","25.4","14.4","50.1","89.6","1.4","2.6","2.3","0.9","3.3","25.7","66.9","25842","13.7","122449","60.3","192200","113285","2.72","-1","-1","83.2","21.2","-1","-1","-1","-1","46885","-1","-1","-1","-1","-1","-1","-1","-1","-1","266.7","768.33"
"Morrow County","OR","0.1","11187","11173","7","28","14.5","48.8","93.8","0.9","1.8","0.7","0.3","2.4","35.1","60.6","1062","17.4","4447","73.2","119800","3741","2.98","-1","-1","75.5","9.7","-1","-1","-1","-1","49940","-1","-1","-1","-1","-1","-1","-1","-1","-1","5.5","2066.74"
"Multnomah County","OR","5.6","776712","735334","5.9","19.8","11.9","50.6","80.5","5.7","1.5","7.2","0.6","4.4","11.2","71.3","44741","14.1","330768","54.2","271600","305939","2.39","-1","-1","89.7","39.9","-1","-1","-1","-1","52511","-1","-1","-1","-1","-1","-1","-1","-1","-1","1704.9","6277.89"
"Polk County","OR","3.3","77916","75403","5.8","23.3","17.1","51.7","90.9","0.8","2.5","2","0.3","3.4","13","79.5","6818","7.3","30607","65.4","217400","28239","2.62","-1","-1","89.8","29","-1","-1","-1","-1","52808","-1","-1","-1","-1","-1","-1","-1","-1","-1","101.8","2870.34"
"Sherman County","OR","-3.1","1710","1765","3.6","18","24.8","50.4","94.9","0.6","2.3","0.2","0.1","1.8","6.8","89.4","235","2.4","906","64.9","135400","827","2.24","-1","-1","92.4","16.5","-1","-1","-1","-1","42639","-1","-1","-1","-1","-1","-1","-1","-1","-1","2.1","1731.2"
"Tillamook County","OR","0.4","25342","25250","5.4","19.1","23.4","49.6","94","0.5","1.6","1","0.3","2.6","10.3","84.7","2778","6.1","18463","69.9","226500","10236","2.4","-1","-1","88.1","20.7","-1","-1","-1","-1","43676","-1","-1","-1","-1","-1","-1","-1","-1","-1","22.9","452.33"
"Umatilla County","OR","1.1","76705","75889","7.2","25.8","14.1","47.7","90.9","1.1","4.3","1.1","0.2","2.4","25.7","67.3","6356","10","29700","63.8","142700","26744","2.7","-1","-1","81.9","15.5","-1","-1","-1","-1","48389","-1","-1","-1","-1","-1","-1","-1","-1","-1","23.6","1655.68"
"Union County","OR","-0.2","25691","25748","6","22","18.6","50.9","93.3","0.6","1.2","1.1","1.3","2.5","4.5","89.5","2286","3.9","11477","63.4","156600","10235","2.43","-1","-1","90.6","22.5","-1","-1","-1","-1","42542","-1","-1","-1","-1","-1","-1","-1","-1","-1","12.6","895.47"
"Wallowa County","OR","-2.7","6820","7008","5","18.3","26.7","51.1","95.8","0.5","0.9","0.5","0.1","2.2","2.8","93.5","850","1.4","4075","73.9","199900","2996","2.27","-1","-1","93.5","24","-1","-1","-1","-1","41994","-1","-1","-1","-1","-1","-1","-1","-1","-1","2.2","636.25"
"Wasco County","OR","1.2","25515","25213","6.1","22.5","19.9","50.4","91.1","0.6","4.2","1","0.7","2.3","17","75.7","2450","9.6","11390","64.9","181600","9612","2.39","-1","-1","85.1","20.1","-1","-1","-1","-1","43765","-1","-1","-1","-1","-1","-1","-1","-1","-1","10.6","314.29"
"Washington County","OR","6.3","562998","529710","6.6","24.3","11.9","50.7","82.2","2.2","1.1","9.9","0.5","4","16.3","67.8","32864","16.7","218881","61","282400","201771","2.64","-1","-1","90.8","39.4","-1","-1","-1","-1","64180","-1","-1","-1","-1","-1","-1","-1","-1","-1","731.4","921.45"
"Wheeler County","OR","-4.6","1375","1441","4.1","15.6","33.2","49.2","93.2","0.1","1.7","0.7","0.3","4","5.2","88.7","164","0.8","888","72","123700","625","2","-1","-1","88.6","16.8","-1","-1","-1","-1","37974","-1","-1","-1","-1","-1","-1","-1","-1","-1","0.8","450.93"
"Yamhill County","OR","2.6","101758","99193","5.7","23.3","15.6","50.1","92","1.1","2","1.8","0.2","3","15.7","77.9","7554","8.5","37522","68.8","224900","34138","2.77","-1","-1","88","22.5","-1","-1","-1","-1","54535","-1","-1","-1","-1","-1","-1","-1","-1","-1","138.6","2087.27"
"Adams County","PA","0.3","101714","101407","5.1","20.6","18.3","50.7","95.5","1.9","0.4","0.9","0","1.3","6.6","89.7","8901","4.1","41281","76.7","198200","38141","2.55","-1","-1","86","20.4","-1","-1","-1","-1","59492","-1","-1","-1","-1","-1","-1","-1","-1","-1","195.5","328.71"
"Allegheny County","PA","0.6","1231255","1223348","5.3","19","17.4","51.8","81","13.4","0.2","3.4","0","2","1.9","79.6","93347","5","589709","65.5","122400","526004","2.26","-1","-1","92.9","35.9","-1","-1","-1","-1","51366","-1","-1","-1","-1","-1","-1","-1","-1","-1","1675.6","821.77"
"Armstrong County","PA","-1.7","67785","68941","5","19.7","20.1","50.4","97.9","0.9","0.1","0.3","0","0.8","0.7","97.3","6204","0.6","32384","76.5","94100","28525","2.37","-1","-1","88.9","14.6","-1","-1","-1","-1","45241","-1","-1","-1","-1","-1","-1","-1","-1","-1","105.5","319.72"
"Beaver County","PA","-0.7","169392","170539","5.1","19.7","19.7","51.6","91.1","6.4","0.1","0.5","0","1.8","1.4","89.9","15600","1.8","78381","73.4","115400","70867","2.35","-1","-1","91","21.9","-1","-1","-1","-1","49217","-1","-1","-1","-1","-1","-1","-1","-1","-1","392.3","3924.4"
"Bedford County","PA","-1.7","48946","49762","5","20.7","20.5","50.1","97.9","0.7","0.2","0.3","0","1","1.1","97","4355","0.7","24013","79.8","120200","20198","2.42","-1","-1","85.2","12.6","-1","-1","-1","-1","43290","-1","-1","-1","-1","-1","-1","-1","-1","-1","49.2","1074.37"
"Berks County","PA","0.5","413691","411442","5.9","22.9","15.9","50.8","88.7","6.7","0.8","1.6","0.1","2.1","18.7","74.2","29566","6.8","164822","72","170600","153897","2.59","-1","-1","84.3","22.3","-1","-1","-1","-1","55170","-1","-1","-1","-1","-1","-1","-1","-1","-1","480.4","186.46"
"Blair County","PA","-0.9","125955","127089","5.5","20.6","19.3","51.2","95.9","1.9","0.1","0.7","0","1.3","1.2","95","12862","1.2","56064","72.4","106500","51433","2.4","-1","-1","90.9","18.4","-1","-1","-1","-1","42992","-1","-1","-1","-1","-1","-1","-1","-1","-1","241.7","1575.85"
"Bradford County","PA","-1.3","61784","62622","6","22.1","19.6","50.5","97.4","0.6","0.3","0.6","0","1","1.5","96.2","5825","1.5","30129","74.9","119900","24213","2.55","-1","-1","87.3","17.1","-1","-1","-1","-1","46963","-1","-1","-1","-1","-1","-1","-1","-1","-1","54.6","599.15"
"Bucks County","PA","0.2","626685","625249","4.9","21.4","16.7","51","89.4","4.1","0.3","4.6","0.1","1.6","4.9","85.3","40571","8.2","246842","78","309900","230366","2.68","-1","-1","93.3","35.8","-1","-1","-1","-1","76555","-1","-1","-1","-1","-1","-1","-1","-1","-1","1034.7","24768.81"
"Butler County","PA","1.1","185943","183862","5","20.8","17","50.6","96.3","1.3","0.1","1.2","0","1","1.3","95.2","15172","1.8","80358","76.8","169700","73213","2.45","-1","-1","92.7","30.5","-1","-1","-1","-1","58230","-1","-1","-1","-1","-1","-1","-1","-1","-1","233.1","196.47"
"Cambria County","PA","-4.1","137732","143679","4.9","19.3","20.4","50.8","94.3","3.5","0.1","0.6","0","1.4","1.5","93.1","13695","1.2","65240","73.9","87100","58208","2.31","-1","-1","88.8","18.3","-1","-1","-1","-1","41730","-1","-1","-1","-1","-1","-1","-1","-1","-1","208.7","396.74"
"Cameron County","PA","-5.5","4805","5085","4.6","17.5","23.8","50.5","97.8","0.4","0.4","0.4","0","1","0.7","97.2","612","1","4400","71.5","69500","2144","2.29","-1","-1","86.4","14.2","-1","-1","-1","-1","41410","-1","-1","-1","-1","-1","-1","-1","-1","-1","12.8","186.68"
"Carbon County","PA","-1.2","64441","65249","4.6","19.7","19.7","50.5","96.1","1.9","0.3","0.5","0.1","1.1","4.1","92.6","6219","2.9","34398","78.9","146700","25903","2.48","-1","-1","87.4","15.1","-1","-1","-1","-1","48900","-1","-1","-1","-1","-1","-1","-1","-1","-1","171.1","1763.79"
"Centre County","PA","3.1","158742","153990","4.1","15.4","12.4","47.6","88.7","3.8","0.2","5.6","0.1","1.6","2.9","86.4","9420","7","65107","59.6","192600","57197","2.4","-1","-1","92.7","40.4","-1","-1","-1","-1","50336","-1","-1","-1","-1","-1","-1","-1","-1","-1","138.7","401.5"
"Chester County","PA","2.7","512784","498886","5.7","23.5","14.5","50.8","86.7","6.4","0.3","4.8","0.1","1.7","7.1","80.6","31143","9","195644","75.7","325200","184788","2.64","-1","-1","92.8","48.5","-1","-1","-1","-1","86050","-1","-1","-1","-1","-1","-1","-1","-1","-1","664.7","377.52"
"Clarion County","PA","-2.9","38821","39988","5","18.9","18","51.2","97","1.1","0.2","0.7","0","0.9","0.7","96.4","3011","1","19879","70.9","106200","15776","2.4","-1","-1","87.9","18.5","-1","-1","-1","-1","42389","-1","-1","-1","-1","-1","-1","-1","-1","-1","66.6","560.44"
"Clearfield County","PA","-0.6","81191","81642","4.7","18.6","18.9","47.7","95.3","3","0.2","0.7","0","0.8","2.9","93","7849","2","38565","76.8","85100","32192","2.38","-1","-1","87","13.5","-1","-1","-1","-1","41030","-1","-1","-1","-1","-1","-1","-1","-1","-1","71.3","279.08"
"Clinton County","PA","1.3","39745","39238","5.5","20.3","17.2","51","96.5","1.8","0.1","0.6","0.1","0.9","1.4","95.2","3329","1.5","18993","71.7","110900","15067","2.45","-1","-1","86.2","17","-1","-1","-1","-1","42184","-1","-1","-1","-1","-1","-1","-1","-1","-1","44.2","631.9"
"Columbia County","PA","-0.3","67122","67295","4.6","18","17.2","51.7","95.5","2.1","0.2","1.2","0","1","2.6","93.4","5124","2.4","29595","69.6","135000","26225","2.4","-1","-1","88","20.7","-1","-1","-1","-1","44807","-1","-1","-1","-1","-1","-1","-1","-1","-1","139.3","657.76"
"Crawford County","PA","-1.8","87175","88765","5.5","21.4","18.3","51.1","96","1.9","0.2","0.6","0","1.2","1.2","95","7843","1.1","44373","73.7","102700","34831","2.43","-1","-1","86.8","18.7","-1","-1","-1","-1","42504","-1","-1","-1","-1","-1","-1","-1","-1","-1","87.7","721.17"
"Cumberland County","PA","3.5","243762","235406","5.3","20.3","17","50.6","90.2","3.8","0.2","3.8","0","1.9","3.4","87.5","20999","5.3","102907","71.1","184500","95286","2.35","-1","-1","91.1","32.5","-1","-1","-1","-1","60826","-1","-1","-1","-1","-1","-1","-1","-1","-1","431.6","669.98"
"Dauphin County","PA","1.3","271453","268100","6.2","22.5","15.3","51.6","74.1","18.7","0.4","3.7","0.1","3","8.3","68.2","20825","6","121802","64.4","158800","108831","2.41","-1","-1","89","28.5","-1","-1","-1","-1","54066","-1","-1","-1","-1","-1","-1","-1","-1","-1","510.6","722.33"
"Delaware County","PA","0.8","562960","558979","6","22.4","15","52","71.1","21.2","0.2","5.4","0","2","3.5","68.6","34153","9.3","221921","70.6","234100","204771","2.62","-1","-1","91.8","35","-1","-1","-1","-1","64041","-1","-1","-1","-1","-1","-1","-1","-1","-1","3040.5","634.77"
"Elk County","PA","-2.4","31194","31946","4.9","19.8","20.5","49.9","98.3","0.5","0.2","0.4","0","0.7","0.8","97.6","2887","1","17521","80.3","92100","13478","2.33","-1","-1","90.5","14.9","-1","-1","-1","-1","45767","-1","-1","-1","-1","-1","-1","-1","-1","-1","38.6","451.89"
"Erie County","PA","-0.8","278443","280566","5.8","21.8","15.8","50.7","88.5","7.6","0.3","1.4","0","2.2","3.8","85.5","21569","4","119816","67.5","115100","109675","2.44","-1","-1","89.9","24.8","-1","-1","-1","-1","45202","-1","-1","-1","-1","-1","-1","-1","-1","-1","351.1","408.4"
"Fayette County","PA","-1.8","134086","136606","5","19.5","19.4","50.7","93.1","4.8","0.2","0.4","0","1.5","1.1","92.3","12097","0.9","62878","72.8","84200","54363","2.42","-1","-1","85.4","14","-1","-1","-1","-1","39115","-1","-1","-1","-1","-1","-1","-1","-1","-1","172.8","241.54"
"Forest County","PA","-2.6","7518","7716","1.5","7.4","21.3","32.9","79.4","19","0.5","0.2","0","0.9","5.9","74.6","1008","1","8675","83.1","83600","2001","2.37","-1","-1","81.6","7.8","-1","-1","-1","-1","36556","-1","-1","-1","-1","-1","-1","-1","-1","-1","18.1","213.07"
"Franklin County","PA","2.2","152892","149618","6.1","22.9","18.2","51","92.9","3.9","0.3","1.1","0.1","1.8","5","89","13036","3.5","64125","73","177500","58273","2.54","-1","-1","85.3","19.3","-1","-1","-1","-1","52637","-1","-1","-1","-1","-1","-1","-1","-1","-1","193.7","600.66"
"Fulton County","PA","-1.4","14632","14845","5.2","21.5","19.7","49.6","97.4","1.2","0.2","0.1","0","1.1","1.2","96.4","1269","0.6","7106","77.4","159300","5965","2.47","-1","-1","84.9","11.8","-1","-1","-1","-1","48461","-1","-1","-1","-1","-1","-1","-1","-1","-1","33.9","457.85"
"Greene County","PA","-2.2","37843","38686","4.9","19.1","17.1","48.1","94.7","3.5","0.2","0.4","0","1.2","1.4","93.5","3657","0.6","16421","73","89400","14417","2.36","-1","-1","85.1","15.5","-1","-1","-1","-1","44388","-1","-1","-1","-1","-1","-1","-1","-1","-1","67.2","500.59"
"Huntingdon County","PA","-0.6","45750","45913","4.5","18.8","18.7","46.9","92.6","5.6","0.1","0.5","0","1.1","1.8","91.2","3902","1.1","22397","76.5","115000","17193","2.37","-1","-1","87.7","13.5","-1","-1","-1","-1","44183","-1","-1","-1","-1","-1","-1","-1","-1","-1","52.5","923.88"
"Indiana County","PA","-1.3","87706","88880","5","18.3","17.1","49.9","94.7","2.9","0.2","1.2","0","1","1.4","93.7","7074","1.7","38618","71.6","103000","34310","2.42","-1","-1","87.8","21.9","-1","-1","-1","-1","43997","-1","-1","-1","-1","-1","-1","-1","-1","-1","107.5","6247.4"
"Jefferson County","PA","-1.2","44638","45200","5.7","21.2","19.4","50.2","98","0.5","0.2","0.3","0","0.9","0.8","97.4","3802","0.6","22418","74.5","86800","18503","2.39","-1","-1","87.6","13.2","-1","-1","-1","-1","41262","-1","-1","-1","-1","-1","-1","-1","-1","-1","69.3","507.8"
"Juniata County","PA","0.6","24796","24636","5.5","22.6","19.8","50.1","97.5","0.8","0.3","0.5","0","0.9","3.1","94.9","1659","1.8","11005","76.4","138200","9248","2.64","-1","-1","82.9","11.8","-1","-1","-1","-1","46163","-1","-1","-1","-1","-1","-1","-1","-1","-1","63","61.91"
"Lackawanna County","PA","-0.8","212719","214437","5.2","20","18.8","51.7","92.6","3.3","0.3","2.3","0.1","1.6","6.2","87.5","18091","4.9","96640","66.8","144100","85769","2.4","-1","-1","88.9","25.7","-1","-1","-1","-1","46044","-1","-1","-1","-1","-1","-1","-1","-1","-1","467.1","571.93"
"Lancaster County","PA","2.7","533320","519445","6.6","24.1","16.4","51.1","90.7","4.8","0.4","2.2","0.1","1.9","9.8","83.2","34195","4.5","206404","69.5","188200","194082","2.62","-1","-1","83.9","24.2","-1","-1","-1","-1","56483","-1","-1","-1","-1","-1","-1","-1","-1","-1","550.4","737.65"
"Lawrence County","PA","-2.6","88771","91108","5.4","20.5","19.9","51.7","93.5","4.1","0.1","0.5","0","1.8","1.2","92.5","7787","1.4","40745","75.3","96700","36823","2.39","-1","-1","88.3","19.6","-1","-1","-1","-1","43546","-1","-1","-1","-1","-1","-1","-1","-1","-1","254.4","555.38"
"Lebanon County","PA","2.1","136359","133568","6.2","22.9","18.4","50.9","93.6","3.3","0.3","1.3","0","1.4","11.4","84.3","10979","3.6","56209","72","164300","52023","2.52","-1","-1","85.5","19.4","-1","-1","-1","-1","54818","-1","-1","-1","-1","-1","-1","-1","-1","-1","369.1","845.55"
"Lehigh County","PA","2.3","357823","349497","5.9","22.8","16","51.3","84.7","8.4","0.8","3.5","0.1","2.4","21.5","68.1","23497","9.8","143377","67.5","196600","133289","2.57","-1","-1","86.8","28.1","-1","-1","-1","-1","54923","-1","-1","-1","-1","-1","-1","-1","-1","-1","1012.5","792.05"
"Luzerne County","PA","-0.7","318829","320918","5","19.6","19","50.7","91.9","4.9","0.4","1.2","0.1","1.5","9.1","85.1","28639","5.2","148243","67.8","121000","130880","2.36","-1","-1","88.3","21","-1","-1","-1","-1","44402","-1","-1","-1","-1","-1","-1","-1","-1","-1","360.4","268.96"
"Lycoming County","PA","0.3","116508","116111","5.6","20.8","17.5","50.8","92.5","4.7","0.2","0.6","0.1","1.9","2","90.9","10578","1.4","52598","70","131000","46046","2.42","-1","-1","87.6","18.8","-1","-1","-1","-1","45430","-1","-1","-1","-1","-1","-1","-1","-1","-1","94.5","1494.83"
"McKean County","PA","-2.1","42554","43450","4.9","20.1","18.2","48.8","95.5","2.6","0.3","0.6","0","1","2.1","93.7","4247","1.2","21042","73.2","72700","17450","2.31","-1","-1","89.3","15.1","-1","-1","-1","-1","41834","-1","-1","-1","-1","-1","-1","-1","-1","-1","44.4","680.35"
"Mercer County","PA","-1.5","114884","116638","4.9","20.3","19.8","50.8","91.6","5.9","0.2","0.7","0","1.6","1.3","90.6","10774","1.3","51615","74.5","104600","46187","2.36","-1","-1","88.6","20.5","-1","-1","-1","-1","44301","-1","-1","-1","-1","-1","-1","-1","-1","-1","173.4","427.95"
"Mifflin County","PA","-0.3","46552","46682","6","22.6","20.3","50.9","97.5","0.8","0.1","0.5","0","1","1.3","96.4","4045","0.7","21518","73.6","95700","18711","2.46","-1","-1","81.5","11.5","-1","-1","-1","-1","40384","-1","-1","-1","-1","-1","-1","-1","-1","-1","113.6","288.08"
"Monroe County","PA","-2.1","166314","169842","4.5","21.3","15.1","50.6","79.4","15.1","0.5","2.4","0.1","2.5","14.6","68.2","13411","10.2","80685","80","191800","58875","2.81","-1","-1","89.6","23.8","-1","-1","-1","-1","57408","-1","-1","-1","-1","-1","-1","-1","-1","-1","279.2","575.27"
"Montgomery County","PA","2.1","816857","799874","5.6","22","16.4","51.4","81","9.4","0.2","7.4","0.1","1.9","4.8","77.1","50355","9.7","327451","73.2","292600","307488","2.55","-1","-1","93.5","45.5","-1","-1","-1","-1","79183","-1","-1","-1","-1","-1","-1","-1","-1","-1","1655.9","309.13"
"Montour County","PA","2","18641","18267","5.9","20.6","19.7","52.2","94.4","1.6","0.1","2.8","0","0.9","2.4","92.4","1523","3.6","8034","73.8","153200","7233","2.44","-1","-1","89.5","26.8","-1","-1","-1","-1","51482","-1","-1","-1","-1","-1","-1","-1","-1","-1","140.3","1223.18"
