"County","State","Age.Percent 65 and Older","Age.Percent Under 18 Years","Age.Percent Under 5 Years","Education.Bachelor's Degree or Higher","Education.High School or Higher","Employment.Nonemployer Establishments","Ethnicities.American Indian and Alaska Native Alone","Ethnicities.Asian Alone","Ethnicities.Black Alone","Ethnicities.Hispanic or Latino","Ethnicities.Native Hawaiian and Other Pacific Islander Alone","Ethnicities.Two or More Races","Ethnicities.White Alone","Ethnicities.White Alone	 not Hispanic or Latino","Housing.Homeownership Rate","Housing.Households","Housing.Housing Units","Housing.Median Value of Owner-Occupied Units","Housing.Persons per Household","Income.Median Houseold Income","Income.Per Capita Income","Miscellaneous.Foreign Born","Miscellaneous.Land Area","Miscellaneous.Language Other than English at Home","Miscellaneous.Living in Same House +1 Years","Miscellaneous.Manufacturers Shipments","Miscellaneous.Mean Travel Time to Work","Miscellaneous.Percent Female","Miscellaneous.Veterans","Population.2020 Population","Population.2010 Population","Population.Population per Square Mile","Sales.Accommodation and Food Services Sales","Sales.Retail Sales","Employment.Firms.Total","Employment.Firms.Women-Owned","Employment.Firms.Men-Owned","Employment.Firms.Minority-Owned","Employment.Firms.Nonminority-Owned","Employment.Firms.Veteran-Owned","Employment.Firms.Nonveteran-Owned"
"Bottineau County","ND","21.8333333333333","21.0666666666666","6.16666666666666","21.4166666666666","88.6999999999999","104","2.63333333333333","0.516666666666666","0.716666666666666","2.03333333333333","-0.166666666666666","2.06666666666666","94.0666666666666","92.45","77.3166666666666","3022","4434","95183","2.06333333333333","53119","5941","2.18333333333333","670.453333333333","-0.35","13.45","-1","2.03333333333333","47.9","726","6605","6429","3.9","1837","15912","107","29","56","-1","96","7","93"
"Boulder County","CO","12.6333333333333","20.05","4.88333333333333","58.9333333333333","94.0833333333333","6804","0.816666666666666","4.58333333333333","1.11666666666666","13.8333333333333","0.1","2.63333333333333","90.6666666666666","78.15","62.95","121670","132540","375300","2.42333333333333","70466","7803","10.8666666666666","592.856666666666","1.78333333333333","12.0666666666666","843576.166666666","3.06666666666666","49.7666666666666","15157","316237","294567","405.6","140372","749722","7363","2648","3759","678","6376","561","6407"
"Boundary County","ID","20.9333333333333","22.9166666666666","5.31666666666666","16.1333333333333","86.05","171","2.16666666666666","0.75","0.533333333333333","4.35","0.1","2","94.4666666666666","90.8333333333333","74.7833333333333","4228","5304","179416","2.57833333333333","38073","4296","2.96666666666666","577.968333333333","-0.25","13.8666666666666","-1","3.89999999999999","49.4666666666666","1218","11158","10972","8.6","-1","16677","235","73","98","6","223","38","177"
"Bourbon County","KS","18.7833333333333","25.0833333333333","6.76666666666666","21.95","88.1333333333333","158","0.983333333333333","0.766666666666666","3.28333333333333","2.38333333333333","0","2.63333333333333","92.3166666666666","90.5333333333333","72.3999999999999","5636","7102","79116","2.58666666666666","40312","3849","1.13333333333333","2602.52833333333","-0.55","13.3166666666666","29150.8333333333","2.28333333333333","50.6166666666666","1143","14704","15173","23.9","2526","22115","227","65","118","6","211","17","190"
"Bourbon County","KY","17.8666666666666","22.6666666666666","5.71666666666666","16.4","82","217","0.4","0.416666666666666","6.23333333333333","6.88333333333333","0","1.75","91.1833333333333","85.0166666666666","60.3666666666666","7905","9030","141033","2.49833333333333","42383","4632","5.2","204.661666666666","0.349999999999999","12.95","177767.833333333","2.94999999999999","51.1833333333333","1522","20018","19985","69","-1","41369","260","77","139","15","230","27","209"
"Bowie County","TX","15.75","23.7666666666666","6.46666666666666","19.2666666666666","87.1333333333333","928","1.01666666666666","1.11666666666666","24.8166666666666","7.38333333333333","0.1","2.25","70.7833333333333","64.5166666666666","66.25","33852","39314","99150","2.595","43649","4515","3.4","735.81","0.0999999999999998","14.1166666666666","77118","2.31666666666666","49.5666666666666","7982","93212","92565","104.6","32306","268548","988","329","518","193","727","122","783"
"Bowman County","ND","19.95","24.2333333333333","6.45","21.2833333333333","89.1","41","2.5","0.2","0.3","4.83333333333333","0.0166666666666666","1.08333333333333","95.8166666666666","92.5833333333333","76.8833333333333","1354","1745","120683","2.27833333333333","57877","5812","0.583333333333333","791.493333333333","-0.0166666666666666","14.1666666666666","-1","1.6","48.55","237","3205","3151","2.7","849","15539","61","12","22","-1","48","-1","53"
"Box Butte County","NE","16.6333333333333","25.3166666666666","7.05","17.5166666666666","90.45","118","4.18333333333333","0.533333333333333","0.766666666666666","12.0666666666666","0","2.26666666666666","92.25","82.45","66.35","4841","5434","93933","2.27833333333333","47644","4691","2.13333333333333","811.356666666666","0.65","13.0833333333333","-1","0.9","49.95","947","11257","11308","10.5","2445","16077","157","74","58","11","135","22","120"
"Box Elder County","UT","12.3666666666666","32.5333333333333","8.5","21.65","91.9333333333333","588","1.18333333333333","0.966666666666666","0.516666666666666","9.2","0.2","1.85","95.2","87.1166666666666","79.05","16434","18307","172350","3.06666666666666","58115","4132","3.11666666666666","956.758333333333","0.4","13.7833333333333","-1","3.06666666666666","49.3333333333333","2662","52542","49975","8.7","7917","80456","612","197","320","19","570","50","525"
"Boyd County","KY","18.25","21.2166666666666","5.76666666666666","16.8166666666666","87.6999999999999","397","0.3","0.516666666666666","3.06666666666666","1.65","0","1.41666666666666","94.6833333333333","93.2666666666666","68.8","19310","21677","99283","2.42833333333333","41700","4364","1.18333333333333","1349.05166666666","-0.516666666666666","13.5666666666666","-1","2.9","50.3","4199","48737","49542","309.9","21573","168398","546","151","311","13","494","48","454"
"Boyd County","NE","29.0833333333333","20.5833333333333","4.58333333333333","16.2","92.3333333333333","31","1.15","0.983333333333333","0.1","2.08333333333333","0.0166666666666666","0.5","97.0833333333333","95.4833333333333","82.9166666666666","933","1375","57583","2.185","42362","4977","0.383333333333333","455.831666666666","-0.516666666666666","14.9666666666666","-1","2.94999999999999","50.95","216","1996","2099","3.9","106","2391","27","-1","16","-1","24","6","17"
"Boyle County","KY","17.9333333333333","20.2333333333333","5.2","23.2","85.1","340","0.3","0.916666666666666","7.86666666666666","3.06666666666666","0","2.15","88.7666666666666","86.1166666666666","65.3666666666666","11088","12426","133316","2.38999999999999","42291","4401","2.5","424.82","-0.183333333333333","12.0666666666666","112271","2.66666666666666","50.0166666666666","1992","29857","28432","157.8","9936","71906","397","98","228","33","335","36","324"
"Bracken County","KY","15.7","24.1666666666666","6.31666666666666","14.0333333333333","81.7","91","0.316666666666666","0.1","0.716666666666666","1.61666666666666","0","1.25","97.6166666666666","96.2166666666666","77.5833333333333","3263","3836","92766","2.57333333333333","40856","4019","0.816666666666666","477.068333333333","-0.483333333333333","14.5166666666666","-1","5.56666666666666","50.15","532","8405","8488","41.3","-1","4271","153","62","72","-1","147","16","127"
"Bradford County","FL","17.6666666666666","20.0666666666666","5.71666666666666","9.31666666666666","76.1833333333333","211","0.433333333333333","0.516666666666666","19.35","3.94999999999999","0.0833333333333333","1.76666666666666","77.85","74.45","76.3833333333333","8900","10933","108466","2.695","41202","3420","2.56666666666666","1756.31833333333","-0.116666666666666","13.75","-1","4.66666666666666","45.4","2652","26968","28520","97","4682","40193","261","104","120","31","218","30","207"
"Bradford County","PA","19.9833333333333","22.05","5.93333333333333","17.3666666666666","87.7666666666666","588","0.3","0.616666666666666","0.633333333333333","1.51666666666666","0","1.05","97.3166666666666","96.1166666666666","74.75","24347","30231","125016","2.52666666666666","47862","4731","1.55","690.525","-0.366666666666666","14.0833333333333","329248.666666666","3.01666666666666","50.4833333333333","5778","61482","62622","54.6","12697","150613","697","222","381","12","658","82","584"
"Bradley County","AR","18.45","23.5","6.75","11.3833333333333","76.8333333333333","84","1.84999999999999","0.5","27.5666666666666","14.5666666666666","0","1.63333333333333","68.3833333333333","56.0999999999999","68.2","4728","5819","67383","2.33666666666666","32538","3823","6.78333333333333","595.896666666666","1.96666666666666","14.45","21308.6666666666","2.85","51.0833333333333","765","11048","11508","17.7","-1","16474","88","21","46","19","63","13","68"
"Bradley County","TN","16.05","22.3166666666666","5.63333333333333","19.1333333333333","82.8833333333333","1250","0.6","1.2","4.86666666666666","5.68333333333333","0.1","1.76666666666666","91.5333333333333","86.7666666666666","66.75","38034","42767","142583","2.58333333333333","42791","4441","4.38333333333333","189.143333333333","0.5","13.2166666666666","-1","2.69999999999999","51.3","7052","103915","98963","301","28048","222492","1185","365","659","86","1050","112","999"
"Branch County","MI","16.95","23.5833333333333","6.18333333333333","13.5666666666666","86.85","415","0.5","0.616666666666666","2.23333333333333","4.43333333333333","0","1.56666666666666","95.0833333333333","91","77.3666666666666","15993","20679","99966","2.61166666666666","43537","4212","2.85","663.395","0.516666666666666","13.9166666666666","135453","2.86666666666666","48.3666666666666","3067","43764","45248","89.4","7858","72531","549","146","326","11","520","38","482"
"Brantley County","GA","15.1166666666666","24.7","5.76666666666666","6.81666666666666","77.15","174","0.416666666666666","0.3","3.58333333333333","2.13333333333333","0","1.55","94.2333333333333","92.3833333333333","80.3833333333333","6595","7973","69133","2.78166666666666","36534","3364","0.866666666666666","951.151666666666","-0.266666666666666","14.6","-1","4.14999999999999","50.55","1258","18351","18411","41.6","691","12335","166","76","72","15","143","7","150"
"Braxton County","WV","20.6166666666666","20.2","5.63333333333333","11.8166666666666","78.2333333333333","87","0.316666666666666","0.283333333333333","0.616666666666666","0.733333333333333","0","1.05","97.6333333333333","97.1","77.5333333333333","5754","7378","81400","2.42666666666666","33451","3710","0.35","84.3016666666666","-0.75","14.2166666666666","24691.6666666666","4.01666666666666","49.6833333333333","1243","14127","14523","28.4","-1","28517","172","43","113","4","161","26","139"
"Brazoria County","TX","11.1166666666666","26.6833333333333","7.03333333333333","27.9166666666666","85.7333333333333","4777","0.8","6.4","13.7666666666666","29.6","0.1","1.85","77.0666666666666","49.1333333333333","73.6","110018","128991","156283","2.86166666666666","69910","5759","12.6","588.741666666666","3.58333333333333","13.8333333333333","5477436.33333333","4.26666666666666","49.3333333333333","20345","343775","313166","230.7","77088","614387","4315","1695","2173","1910","2268","357","3764"
"Brazos County","TX","8.5","20.5166666666666","6.18333333333333","39.2833333333333","85.3666666666666","2468","0.7","5.71666666666666","11.3666666666666","25.0333333333333","0.1","1.85","80.2666666666666","56.8666666666666","46.1833333333333","71767","85305","159800","2.61","40121","4604","13.0666666666666","555.55","3.2","10.9166666666666","177266.666666666","2.05","49.3499999999999","8843","213268","194851","332.8","74409","445333","2475","842","1325","708","1651","217","2105"
