"County","State","Age.Percent 65 and Older","Age.Percent Under 18 Years","Age.Percent Under 5 Years","Education.Bachelor's Degree or Higher","Education.High School or Higher","Employment.Nonemployer Establishments","Ethnicities.American Indian and Alaska Native Alone","Ethnicities.Asian Alone","Ethnicities.Black Alone","Ethnicities.Hispanic or Latino","Ethnicities.Native Hawaiian and Other Pacific Islander Alone","Ethnicities.Two or More Races","Ethnicities.White Alone","Ethnicities.White Alone, not Hispanic or Latino","Housing.Homeownership Rate","Housing.Households","Housing.Housing Units","Housing.Median Value of Owner-Occupied Units","Housing.Persons per Household","Income.Median Houseold Income","Income.Per Capita Income","Miscellaneous.Foreign Born","Miscellaneous.Land Area","Miscellaneous.Language Other than English at Home","Miscellaneous.Living in Same House +1 Years","Miscellaneous.Manufacturers Shipments","Miscellaneous.Mean Travel Time to Work","Miscellaneous.Percent Female","Miscellaneous.Veterans","Population.2020 Population","Population.2010 Population","Population.Population per Square Mile","Sales.Accommodation and Food Services Sales","Sales.Retail Sales","Employment.Firms.Total","Employment.Firms.Women-Owned","Employment.Firms.Men-Owned","Employment.Firms.Minority-Owned","Employment.Firms.Nonminority-Owned","Employment.Firms.Veteran-Owned","Employment.Firms.Nonveteran-Owned"
"Stoddard County","MO","19","22.3","5.6","13.3","79.8","-1","0.5","0.3","1.2","1.7","0","1.1","97","95.6","71.7","12224","13600","83800","2.39","37965","-1","0.4","400.64","-1","-1","-1","-1","51.3","2906","29867","29968","36.4","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Stone County","MO","27.4","17.6","4.2","15.2","84.9","-1","0.7","0.4","0.5","2","0","1.5","96.8","95.2","78.6","13320","20542","145000","2.37","40850","-1","1.1","580.69","-1","-1","-1","-1","51.1","3752","31104","32202","69.4","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Sullivan County","MO","18.4","22.9","6","12","82.1","-1","0.7","0.4","1.7","17.6","0.3","0.9","96","79.5","69.2","2640","3330","74200","2.46","36676","-1","10","801.23","-1","-1","-1","-1","49.2","444","6411","6714","10.4","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Taney County","MO","19.7","21.2","5.8","18.6","84.7","-1","0.9","1","1.4","5.5","0.1","2.1","94.4","89.6","63.2","20698","30119","129100","2.45","38461","-1","4.3","307.14","-1","-1","-1","-1","51.5","5347","54230","51675","81.7","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Texas County","MO","19.5","21.4","5.6","12","82.9","-1","0.8","0.4","3.7","2.2","0.1","2","93","91.1","75.3","9370","11579","98000","2.58","36082","-1","0.7","862.91","-1","-1","-1","-1","47.9","2703","25642","26008","22.1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Vernon County","MO","17.7","24.5","6.3","13.2","84.9","-1","0.8","0.6","0.8","2","0.1","1.8","95.9","94.2","69.7","7999","9467","83700","2.51","38679","-1","1.6","2137.07","-1","-1","-1","-1","51.2","1561","21001","21159","25.6","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Warren County","MO","16.6","24.4","6.2","16","84.3","-1","0.5","0.6","2.4","3.2","0.1","1.8","94.6","91.9","79.4","12572","14920","151300","2.57","50830","-1","2.1","801.59","-1","-1","-1","-1","50.1","2884","33253","32513","75.9","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Washington County","MO","15.4","23.1","5.8","8.4","71.6","-1","0.5","0.3","2.4","1.3","0","1.4","95.4","94.4","76.3","9199","10858","73000","2.61","34702","-1","1.1","834.26","-1","-1","-1","-1","48.4","2288","25077","25195","33.2","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Wayne County","MO","21.9","20.8","6","10.3","77.1","-1","0.5","0.3","0.7","1.4","0","1.7","96.8","95.6","75.1","5589","7976","75100","2.37","33159","-1","0.3","695.95","-1","-1","-1","-1","50.2","1314","13452","13521","17.8","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Webster County","MO","14.6","27.2","6.8","15","84.7","-1","0.7","0.3","1.1","1.9","0","1.6","96.3","94.7","75.9","12668","14480","116800","2.8","44596","-1","0.8","282.31","-1","-1","-1","-1","49.1","3036","36888","36202","61.1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Worth County","MO","24.3","20.4","5.9","15.6","92.9","-1","0.3","0.3","0.8","1.3","0","1","97.6","96.5","76.3","940","1271","57900","2.2","39348","-1","0.2","561.01","-1","-1","-1","-1","50.1","221","2073","2171","8.1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Wright County","MO","19.1","25.1","6.3","11.1","76.5","-1","0.6","0.3","0.7","1.7","0.1","1.5","96.8","95.3","72.2","7295","8616","86700","2.52","28645","-1","2.2","469.21","-1","-1","-1","-1","51.1","1597","18291","18815","27.6","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Adams County","MS","16.7","21.2","5.8","17.5","78.8","-1","0.4","0.5","53.4","8","0","1","44.6","37.6","68","12087","14617","80900","2.54","27381","-1","4.4","715.58","-1","-1","-1","-1","49.5","2028","31737","32297","69.8","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Alcorn County","MS","17.1","23.8","6.2","17.4","78.5","-1","0.3","0.4","12.5","3.1","0","1","85.7","82.9","71.1","14679","17106","84300","2.5","33600","-1","1.4","451.92","-1","-1","-1","-1","51.1","2377","37380","37057","92.6","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Amite County","MS","21","21.1","5.9","11.6","74.7","-1","0.2","0.1","40.9","1","0","0.8","57.9","57.3","85.3","5212","6632","70300","2.49","30750","-1","0.4","437.29","-1","-1","-1","-1","51.4","726","12629","13131","18","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Attala County","MS","19.5","25.1","7","16","73.2","-1","0.3","0.3","42.3","2","0","0.6","56.4","54.8","73.6","7185","9126","71200","2.65","31641","-1","1.2","494.39","-1","-1","-1","-1","52.8","1408","19163","19564","26.6","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Benton County","MS","17.9","22.4","5.2","9.9","73","-1","0.4","0.1","36.2","2.5","0","1","62.2","60.2","81.7","3195","4195","81200","2.69","31060","-1","1.1","714.51","-1","-1","-1","-1","50","412","8296","8729","21.5","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Bolivar County","MS","13.7","25.6","7.5","21.2","73.8","-1","0.2","0.7","64.7","2.2","0.1","0.6","33.8","32.3","56.4","12301","14301","83500","2.64","28599","-1","1.5","3587.48","-1","-1","-1","-1","53.2","1434","33768","34145","39","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Calhoun County","MS","17.6","24.2","6.3","9.5","68.2","-1","0.2","0.1","28","5.6","0","1.1","70.5","65.5","70.5","5944","6923","61500","2.46","30000","-1","3.2","572.74","-1","-1","-1","-1","51.9","805","14745","14962","25.5","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Carroll County","MS","21","19.8","4.3","12.3","78.2","-1","0.2","0.2","34","1.3","0","0.9","64.7","63.9","83.2","3757","5060","68800","2.72","31039","-1","0.7","465.88","-1","-1","-1","-1","49","466","10254","10597","16.9","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Chickasaw County","MS","15.6","25","6.8","10","72","-1","0.3","0.4","43.9","3.9","0.1","1","54.2","51.2","73.2","6614","7507","64600","2.58","31061","-1","1.5","557.12","-1","-1","-1","-1","51.9","657","17313","17392","34.7","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Choctaw County","MS","19.2","22.5","5.6","12.6","78.3","-1","0.3","0.3","29.5","1.3","0.1","1.2","68.6","67.7","71.4","3378","4154","70600","2.43","29876","-1","0.1","466.07","-1","-1","-1","-1","51.6","632","8294","8547","20.4","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Claiborne County","MS","14.3","21.9","6.1","18.6","80.9","-1","0.2","0.7","84.1","1.2","0","0.8","14.3","13.8","80","3190","4221","54500","2.84","23689","-1","0.8","320.68","-1","-1","-1","-1","52.5","341","9080","9604","19.7","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Clarke County","MS","18.5","23.1","5.5","11.7","77","-1","0.4","0.2","34.2","1.1","0","0.7","64.4","63.5","84.1","6305","7874","59900","2.62","31362","-1","0.3","624.44","-1","-1","-1","-1","52.7","1359","16299","16732","24.2","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Clay County","MS","16.3","24.2","6.1","17.9","79.1","-1","0.2","0.2","58.6","1.4","0","0.7","40.2","39.4","71.3","7750","9194","80600","2.61","30764","-1","0.5","308.44","-1","-1","-1","-1","53","1220","20225","20634","50.3","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Coahoma County","MS","13.3","27.6","8.2","17.5","76.6","-1","0.1","0.7","74.9","1.5","0","0.7","23.5","22.6","53.3","9464","10750","55600","2.66","26407","-1","0.5","570.86","-1","-1","-1","-1","53.9","1198","24807","26151","47.3","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Copiah County","MS","15.4","23.6","6.4","13.5","79.6","-1","0.2","0.4","51.4","2.8","0","1","47.1","44.9","76.3","9897","12113","74100","2.83","35421","-1","2.3","557.88","-1","-1","-1","-1","51.6","1785","28797","29449","37.9","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Covington County","MS","17","24.8","7.1","14.2","76.5","-1","0.2","0.3","35.9","2.1","0.1","1","62.6","61.2","83","7036","8505","71800","2.73","33381","-1","0.3","411.62","-1","-1","-1","-1","51.1","1460","19442","19568","47.3","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"DeSoto County","MS","11.8","26.7","6.3","21.6","88.6","-1","0.3","1.4","24.9","4.9","0.1","1.4","71.9","67.5","75.1","57979","63932","152600","2.82","58505","-1","3.6","954.99","-1","-1","-1","-1","51.5","11011","170913","161252","338.7","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Forrest County","MS","12.7","23.1","6.8","27","83.8","-1","0.4","1.1","37","3.2","0.1","1.4","60","57.5","56.5","27822","32602","117500","2.58","36726","-1","2.8","9887.53","-1","-1","-1","-1","52.2","5360","76330","74934","160.7","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Franklin County","MS","17.8","24.5","5.6","11.3","81.1","-1","0.2","0.1","35.5","0.8","0","0.9","63.2","62.7","79.6","3311","4157","63700","2.39","32372","-1","0.3","2.53","-1","-1","-1","-1","51.2","589","7833","8118","14.4","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"George County","MS","14.5","26.2","7.3","10.3","83.8","-1","0.4","0.3","8.5","2.2","0","0.9","89.8","87.8","84.2","7842","9357","94400","2.83","43958","-1","1.8","9.88","-1","-1","-1","-1","49.5","1630","23303","22578","47.2","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Greene County","MS","12.9","20","4.8","7.8","75.7","-1","0.4","0.1","27.2","1","0","0.8","71.5","70.6","87.4","4117","5123","83200","2.74","36888","-1","0.8","742.93","-1","-1","-1","-1","40.5","1153","14326","14400","20.2","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Grenada County","MS","16.6","23.7","6.2","14.7","78.4","-1","0.2","0.4","42.4","1.2","0","0.9","56","55.2","73.5","7941","10188","86500","2.69","34129","-1","0.4","542.15","-1","-1","-1","-1","52.7","1095","21666","21906","51.9","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Hancock County","MS","17.3","22.1","5.4","22","85.4","-1","0.6","1.1","8.4","3.6","0.1","2","87.8","84.7","75.3","18145","23604","133900","2.43","44522","-1","3.6","589.08","-1","-1","-1","-1","50.9","4397","45949","43929","92.7","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Harrison County","MS","13.2","24.3","7","20.7","85.6","-1","0.5","3","24","5.4","0.1","2.5","69.8","65.3","61","72253","89749","143000","2.57","43124","-1","4.5","1544.98","-1","-1","-1","-1","50.4","22647","199058","187105","326","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Hinds County","MS","12.1","25.2","6.7","27.4","85.1","-1","0.2","0.8","70.8","1.6","0","0.9","27.3","26.2","59.3","87844","104082","106400","2.71","37626","-1","1.9","976.88","-1","-1","-1","-1","53.2","14001","243729","245285","282","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Holmes County","MS","13.5","26.8","7.7","12.7","71.4","-1","0.1","0.5","82.2","0.9","0","0.6","16.6","16.4","71","6511","8415","49000","2.81","22325","-1","0.2","9200.14","-1","-1","-1","-1","52.2","574","18459","19198","25.4","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Humphreys County","MS","14.2","27.4","7.4","10.9","64.1","-1","0.1","0.4","75","2.5","0.1","1","23.5","22","54.3","3107","3832","63000","2.95","23600","-1","0.8","526.98","-1","-1","-1","-1","52.9","499","8741","9375","22.4","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Issaquena County","MS","13.7","15","3.2","5.3","56.4","-1","0.4","0.6","63.9","0.9","0","0.1","35","34.4","67.5","461","558","60800","2.38","24767","-1","0","520.31","-1","-1","-1","-1","40.6","85","1397","1406","3.4","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Itawamba County","MS","17.4","21.9","6","13.5","76.7","-1","0.3","0.3","6.8","1.4","0","0.7","91.9","90.7","79","8859","10167","79300","2.53","36073","-1","0.2","1399.35","-1","-1","-1","-1","50.9","1526","23527","23401","43.9","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Jackson County","MS","14.2","24.2","5.9","19.6","86.3","-1","0.4","2.3","22.1","5.5","0.1","1.8","73.3","68.5","70.8","50007","61115","123300","2.77","48943","-1","3.5","742.29","-1","-1","-1","-1","50.9","14074","141137","139668","193.2","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Jasper County","MS","18","23.5","6.8","12.9","76.6","-1","0.2","0.2","52.4","1.2","0.1","0.7","46.4","45.6","79.3","7015","8217","72700","2.38","31170","-1","0.6","597.01","-1","-1","-1","-1","51.3","1001","16601","17062","25.2","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Jefferson County","MS","13.9","23.2","6.8","19.9","79.7","-1","0.2","0","85.1","0.5","0.1","0.5","14.1","14","71.5","2520","3677","61500","2.84","26028","-1","0","1584.55","-1","-1","-1","-1","50.2","304","7599","7726","14.9","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Jefferson Davis County","MS","19.3","21","5.9","14.4","78","-1","0.3","0.2","59.9","1.2","0","0.9","38.7","37.9","78.8","4895","5879","78300","2.48","27186","-1","0.8","366","-1","-1","-1","-1","52.4","600","11822","12487","30.6","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Jones County","MS","15.5","25.6","7.2","16.8","78.7","-1","0.6","0.5","29.3","4.3","0","0.9","68.7","65.1","73.5","24677","28638","84200","2.69","38074","-1","3.2","554.53","-1","-1","-1","-1","51.4","4596","68290","67761","97.5","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Kemper County","MS","17.2","20.8","4.3","10.4","75.9","-1","3.5","0.2","60.4","0.8","0","0.8","35.1","34.7","76.1","3605","4732","65500","2.64","29003","-1","0.8","572.36","-1","-1","-1","-1","49.8","579","10163","10456","13.6","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Lafayette County","MS","11.3","18.1","5.4","37.2","86.3","-1","0.3","2.6","23.7","2.3","0.1","1.2","72","70.2","59.4","15743","23978","163000","2.77","43328","-1","2.9","396.3","-1","-1","-1","-1","51.2","2287","52930","47351","75","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Lamar County","MS","11.6","25.8","6.9","33.1","90.3","-1","0.3","1.3","20.6","2.5","0.1","1.2","76.4","74.4","65.8","21678","24261","163900","2.6","51154","-1","2.2","944.29","-1","-1","-1","-1","51.8","3884","60099","55658","112","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Lauderdale County","MS","15.1","24","6.4","18.9","84.1","-1","0.3","0.8","42.9","2.2","0.1","1.1","54.8","53.2","66.1","29809","34945","87400","2.56","36203","-1","1.8","343.01","-1","-1","-1","-1","51.6","6565","79739","80261","114.1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Lawrence County","MS","16.2","24","6.1","12.9","82.3","-1","0.3","0.3","31.4","1.9","0","0.9","67","65.6","80","4830","6034","79600","2.63","38393","-1","0.2","436.92","-1","-1","-1","-1","51","1067","12502","12929","30","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Leake County","MS","14.4","28","6.7","10.7","74.9","-1","6.7","0.3","41.9","4.2","0","0.9","50","47.7","75.5","8069","9419","73800","2.77","32521","-1","2.5","542.38","-1","-1","-1","-1","47.9","1334","23193","23805","40.8","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Lee County","MS","14.3","25.8","7","21.8","82.9","-1","0.2","0.8","28.7","2.5","0","1.2","69","66.9","70.9","31898","36216","108300","2.59","42074","-1","2","403.76","-1","-1","-1","-1","52.2","5227","85246","82910","184.3","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Leflore County","MS","12.6","27","7.4","19","73.2","-1","0.4","0.7","72.7","2.5","0","0.7","25.5","24","50.7","10887","13162","69200","2.77","24480","-1","3.1","1182.33","-1","-1","-1","-1","51.9","1052","31422","32317","54.5","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Lincoln County","MS","15.6","24.7","6.3","16.8","82.8","-1","0.2","0.4","31","1.1","0","0.7","67.7","66.9","74","13045","15274","84900","2.62","36498","-1","0.8","498.16","-1","-1","-1","-1","52.2","2037","34775","34869","59.5","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Lowndes County","MS","14.4","24.1","6.7","21.4","82","-1","0.2","0.7","44","1.9","0.1","1.1","53.9","52.5","62.1","23178","27014","115700","2.51","37868","-1","1.9","380.88","-1","-1","-1","-1","52.4","5251","59730","59779","118.3","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Madison County","MS","12.3","25.6","6.5","45.8","89.2","-1","0.4","2.4","38.3","2.8","0.1","0.8","58.1","55.9","70.3","36342","41147","201200","2.63","59904","-1","4","1448.82","-1","-1","-1","-1","52.1","5516","101688","95203","133.2","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Marion County","MS","16.6","24.2","6.5","13.2","74.3","-1","0.2","0.3","32.4","1.4","0","1","66","64.9","74.7","9985","11840","77900","2.58","29400","-1","0.3","1808.4","-1","-1","-1","-1","51.7","1646","25868","27088","49.9","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Marshall County","MS","15","22.1","5.9","11.2","73.9","-1","0.3","0.3","47.6","3.3","0","0.9","50.9","48.1","79.5","13050","15038","83700","2.67","36022","-1","1.5","455.6","-1","-1","-1","-1","50.6","2207","36234","37144","52.6","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Monroe County","MS","17.6","23","5.6","13.1","76.7","-1","0.3","0.2","30.8","1.1","0","0.9","67.8","67","77.3","13960","16443","78500","2.6","36308","-1","0.3","565.84","-1","-1","-1","-1","52","2385","36003","36989","48.3","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Montgomery County","MS","19","22.9","6.2","13.1","72.7","-1","0.2","0.3","45.5","1.2","0","0.7","53.2","52.4","74.5","4229","5419","68600","2.51","30466","-1","0.1","572.5","-1","-1","-1","-1","52.2","767","10400","10925","26.8","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Neshoba County","MS","14.7","28.1","7.4","12.6","77.2","-1","16.4","0.4","21.2","2","0","1.5","60.4","59.1","73.2","10829","12359","75900","2.69","37050","-1","1.1","386.79","-1","-1","-1","-1","52.2","1721","29465","29676","52.1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Newton County","MS","16.2","25.4","6.8","14.7","83.3","-1","4.9","0.4","30.3","1.7","0","0.9","63.4","62.2","77.6","7931","9371","72100","2.64","39190","-1","1","443.63","-1","-1","-1","-1","52","1839","21832","21720","37.6","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Noxubee County","MS","15.7","25.3","6.9","11.2","65.5","-1","0.2","0.3","71.7","1.1","0","0.8","26.9","26.2","71.8","4194","5167","59000","2.66","24338","-1","1.2","900.18","-1","-1","-1","-1","51.9","379","11115","11545","16.6","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Oktibbeha County","MS","10.3","18","5.4","42.6","86.4","-1","0.2","3.2","37.2","1.7","0.1","1.1","58.2","56.8","51.7","18176","21292","129200","2.42","30987","-1","3.7","301.25","-1","-1","-1","-1","50.4","2216","49414","47671","104","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Panola County","MS","14.2","25.9","7.2","14.3","75.8","-1","0.3","0.2","49.7","1.8","0","1","48.7","47.5","76.3","11928","14718","77500","2.86","35715","-1","0.2","1775.07","-1","-1","-1","-1","51.7","1901","34444","34707","50.7","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Pearl River County","MS","17.2","23.3","5.9","13.2","83.2","-1","0.6","0.5","12.8","3","0.1","1.7","84.4","81.7","77.6","20556","24552","111600","2.65","42510","-1","1.7","706.19","-1","-1","-1","-1","50.5","4982","55224","55834","68.9","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Perry County","MS","17.2","23.6","6.2","8.2","80","-1","0.4","0.2","20.2","1.3","0","1.2","77.9","76.9","84.9","4483","5521","81200","2.69","36124","-1","0.3","371.08","-1","-1","-1","-1","51.4","917","12227","12250","18.9","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Pike County","MS","15.6","26.6","7","15.8","78.2","-1","0.3","0.6","52.5","1.3","0","0.8","45.7","44.9","70.1","14614","17891","82200","2.7","34841","-1","1.2","375.46","-1","-1","-1","-1","52.6","2235","40058","40404","98.8","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Pontotoc County","MS","13.9","26.6","6.8","12","76.4","-1","0.6","0.3","15.6","6.3","0","1.3","82.2","77","78.2","9937","12551","80000","3.01","39899","-1","2.5","543.46","-1","-1","-1","-1","50.4","1528","30950","29957","60.2","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Prentiss County","MS","17","22.9","6.4","11.4","72.7","-1","0.3","0.2","14.2","1.3","0","1.2","84.2","83.2","72.8","9611","11074","73200","2.53","32503","-1","0.2","335.74","-1","-1","-1","-1","50.8","1133","25428","25276","60.9","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Quitman County","MS","15","24.9","6.8","13.7","68","-1","0.2","0.3","69.1","1","0","1.3","29","28.4","68.6","3114","3595","49200","2.53","22863","-1","1","229.61","-1","-1","-1","-1","52.1","483","7678","8223","20.3","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Rankin County","MS","13.3","24.3","6.3","28.5","88.9","-1","0.2","1.2","20.2","2.6","0.1","1.1","77.2","75","75.5","53223","58210","148900","2.6","57380","-1","2.4","712.35","-1","-1","-1","-1","51.7","9765","148070","141617","182.6","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Scott County","MS","13.7","26.6","7.6","9.6","72.3","-1","0.7","0.5","38.1","10.7","0.5","1.2","59","50.5","75.7","9692","11481","68600","2.88","34534","-1","7.1","914.94","-1","-1","-1","-1","51.2","1264","28461","28264","46.4","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Sharkey County","MS","16.1","25.4","7.1","21.1","77.3","-1","0.2","0.3","69.6","1.7","0","0.8","29.2","28.1","64.4","1725","2122","64900","2.75","35125","-1","0.2","10.96","-1","-1","-1","-1","53.8","294","4647","4916","11.4","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Simpson County","MS","15.6","25.3","6.4","14.7","78.3","-1","0.3","0.4","35.7","1.6","0.1","0.9","62.6","61.5","76","9786","11934","80800","2.72","38362","-1","1.5","539.24","-1","-1","-1","-1","51.3","1709","27463","27503","46.7","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Smith County","MS","17.2","24.4","6.2","13.2","80.8","-1","0.2","0.1","23.6","1.5","0","0.7","75.5","74.3","83.3","6269","7244","77600","2.6","34753","-1","0.6","240.13","-1","-1","-1","-1","51.9","948","16188","16491","25.9","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Stone County","MS","14.3","22.4","5.5","13.6","84.5","-1","0.5","0.3","19.8","1.7","0","1.1","78.2","76.8","82.6","5871","7238","107000","2.88","42963","-1","0.9","495.07","-1","-1","-1","-1","50.1","1520","17875","17786","39.9","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Sunflower County","MS","11.6","23.3","6.3","13","70.2","-1","0.3","0.4","73","1.5","0","0.6","25.8","25","58.6","8394","9698","69500","2.92","26619","-1","0.7","928.8","-1","-1","-1","-1","47.2","1321","27496","29450","42.2","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Tallahatchie County","MS","13.5","20.4","5.4","8.5","65.7","-1","0.3","0.9","56.4","6.2","0.1","1","41.3","36.1","73","4640","5533","64000","2.58","29853","-1","4.9","959.42","-1","-1","-1","-1","44.3","640","14761","15378","23.8","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Tate County","MS","15","24.2","5.9","15.4","79.9","-1","0.3","0.3","31.3","2.5","0.1","1.3","66.7","64.7","74.5","9936","11165","112600","2.73","41494","-1","1.5","237.22","-1","-1","-1","-1","51.7","1585","28204","28886","71.4","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Tippah County","MS","15.8","24.6","6.2","10.3","75.8","-1","0.4","0.2","16.7","4.8","0","1.4","81.3","77.1","76.5","8472","9717","74800","2.56","34636","-1","1.6","1100.28","-1","-1","-1","-1","50.8","1274","22039","22232","48.6","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Tishomingo County","MS","19.6","22","5.3","11.3","76.8","-1","0.4","0.2","2.8","2.6","0","0.9","95.7","93.4","75.9","7643","10312","72900","2.52","32592","-1","2","85.93","-1","-1","-1","-1","51.8","1546","19420","19593","46.2","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Tunica County","MS","10.2","30.3","8.7","15.4","76.8","-1","0.2","0.9","75.6","2.4","0.2","1","22.2","20.4","43.6","4116","4824","74000","2.53","31446","-1","3.8","1161.52","-1","-1","-1","-1","52.9","522","10598","10778","23.7","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Union County","MS","15.7","25.2","6.7","14.8","76.1","-1","0.3","0.3","15.1","4.6","0.1","1.4","82.8","78.8","72.8","10322","11789","85500","2.62","38373","-1","3.2","613.14","-1","-1","-1","-1","51.2","1681","28097","27134","65.3","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Walthall County","MS","17.7","24.6","5.7","12.6","74.8","-1","0.4","0.2","43.8","1.8","0.1","1.3","54.2","52.9","82.5","5649","7139","85100","2.68","31090","-1","0.6","1279.26","-1","-1","-1","-1","51.9","701","14859","15443","38.2","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Warren County","MS","14.6","24.8","6.5","24.7","83.4","-1","0.3","0.9","48.2","2","0","1","49.6","48.1","64.9","18404","21878","103600","2.6","41025","-1","1.6","655.39","-1","-1","-1","-1","52.4","2786","47983","48773","82.9","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Washington County","MS","13.6","26.5","7.4","18.7","75.5","-1","0.2","0.7","71.4","1.3","0","0.6","27","26.3","54.8","18123","21621","73700","2.75","28093","-1","1.3","570.7","-1","-1","-1","-1","53.2","2820","48958","51137","70.6","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Wayne County","MS","15.7","24.8","6.4","10.2","72.7","-1","0.3","0.2","39.4","1.5","0","0.9","59.2","58.1","83.3","8105","9213","68400","2.52","29925","-1","0.2","2643.17","-1","-1","-1","-1","51.9","1178","20490","20747","25.6","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Webster County","MS","16.6","24.2","5.9","19","81.3","-1","0.2","0.3","19.7","1.3","0","1.1","78.7","77.5","73.6","4084","4805","70900","2.45","33524","-1","0.7","248.74","-1","-1","-1","-1","51","531","9972","10253","24.4","-1","-1","-1","-1","-1","-1","-1","-1","-1"
